"timeMillisSpent","score"
1,"-20hard/1883soft"
2,"-15hard/1455soft"
2,"-10hard/1349soft"
5,"0hard/1258soft"
5,"0hard/1309soft"
9,"0hard/1361soft"
14,"0hard/1485soft"
24,"0hard/1517soft"
24,"0hard/1612soft"
24,"0hard/1632soft"
29,"0hard/1701soft"
29,"0hard/1768soft"
42,"0hard/1808soft"
44,"0hard/1854soft"
63,"0hard/1879soft"
66,"0hard/1896soft"
66,"0hard/1918soft"
66,"0hard/1931soft"
119,"0hard/1942soft"
169,"0hard/1956soft"
191,"0hard/1978soft"
196,"0hard/1999soft"
196,"0hard/2005soft"
218,"0hard/2022soft"
246,"0hard/2066soft"
272,"0hard/2106soft"
337,"0hard/2126soft"
381,"0hard/2179soft"
536,"0hard/2180soft"
772,"0hard/2209soft"
816,"0hard/2251soft"
