"timeMillisSpent","score"
4,"0hard/-6662soft"
6,"0hard/-5901soft"
9,"0hard/-4752soft"
11,"0hard/-4383soft"
21,"0hard/-4112soft"
22,"0hard/-3919soft"
575,"0hard/-3730soft"
592,"0hard/-3443soft"
1222,"0hard/-3404soft"
