"timeMillisSpent","score"
0,"0hard/-6484soft"
18,"0hard/-5430soft"
18,"0hard/-5245soft"
18,"0hard/-5110soft"
22,"0hard/-4076soft"
47,"0hard/-3791soft"
47,"0hard/-3740soft"
89,"0hard/-3083soft"
254,"0hard/-3061soft"
254,"0hard/-3053soft"
265,"0hard/-2723soft"
341,"0hard/-2696soft"
347,"0hard/-2585soft"
408,"0hard/-2448soft"
472,"0hard/-2343soft"
474,"0hard/-2246soft"
641,"0hard/-2084soft"
641,"0hard/-1903soft"
739,"0hard/-1789soft"
1234,"0hard/-1638soft"
2289,"0hard/-1605soft"
3439,"0hard/-1466soft"
3876,"0hard/-1256soft"
7637,"0hard/-1252soft"
8194,"0hard/-1217soft"
10153,"0hard/-984soft"
10158,"0hard/-936soft"
26664,"0hard/-897soft"
28765,"0hard/-861soft"
