"timeMillisSpent","score"
8,"0hard/-6662soft"
15,"0hard/-5746soft"
22,"0hard/-5042soft"
78,"0hard/-4407soft"
94,"0hard/-4370soft"
105,"0hard/-4356soft"
115,"0hard/-4349soft"
125,"0hard/-3846soft"
173,"0hard/-3097soft"
183,"0hard/-2948soft"
2269,"0hard/-2584soft"
