"timeMillisSpent","score"
4,"0hard/912soft"
8,"0hard/1345soft"
11,"0hard/1768soft"
15,"0hard/1926soft"
18,"0hard/2133soft"
22,"0hard/2140soft"
33,"0hard/2187soft"
49,"0hard/2194soft"
63,"0hard/2218soft"
68,"0hard/2270soft"
91,"0hard/2322soft"
100,"0hard/2324soft"
111,"0hard/2327soft"
229,"0hard/2370soft"
260,"0hard/2402soft"
329,"0hard/2586soft"
1609,"0hard/2651soft"
