"timeMillisSpent","score"
7,"0hard/2052soft"
12,"0hard/2241soft"
18,"0hard/2263soft"
175,"0hard/2265soft"
197,"0hard/2281soft"
626,"0hard/2298soft"
751,"0hard/2310soft"
909,"0hard/2326soft"
941,"0hard/2333soft"
1316,"0hard/2342soft"
1591,"0hard/2348soft"
1607,"0hard/2393soft"
