"timeMillisSpent","score"
2,"0hard/813soft"
3,"0hard/1285soft"
4,"0hard/1740soft"
5,"0hard/1842soft"
6,"0hard/1855soft"
8,"0hard/1940soft"
9,"0hard/2031soft"
10,"0hard/2259soft"
12,"0hard/2444soft"
45,"0hard/2605soft"
503,"0hard/2617soft"
1790,"0hard/2625soft"
2468,"0hard/2642soft"
4239,"0hard/2652soft"
5209,"0hard/2664soft"
8037,"0hard/2670soft"
16897,"0hard/2712soft"
20103,"0hard/2763soft"
