"timeMillisSpent","score"
1,"-15hard/2328soft"
2,"0hard/1532soft"
2,"0hard/1886soft"
2,"0hard/2047soft"
4,"0hard/2152soft"
105,"0hard/2196soft"
130,"0hard/2221soft"
199,"0hard/2236soft"
334,"0hard/2270soft"
629,"0hard/2304soft"
639,"0hard/2305soft"
2013,"0hard/2356soft"
2027,"0hard/2364soft"
2989,"0hard/2479soft"
14242,"0hard/2508soft"
20291,"0hard/2514soft"
