"timeMillisSpent","score"
1,"0hard/-1880soft"
1,"0hard/-1186soft"
2,"0hard/-1135soft"
2,"0hard/-815soft"
4,"0hard/-650soft"
13,"0hard/-648soft"
15,"0hard/355soft"
25,"0hard/401soft"
52,"0hard/439soft"
55,"0hard/445soft"
93,"0hard/446soft"
105,"0hard/534soft"
107,"0hard/597soft"
110,"0hard/957soft"
135,"0hard/962soft"
275,"0hard/993soft"
278,"0hard/1099soft"
281,"0hard/1127soft"
451,"0hard/1173soft"
458,"0hard/1202soft"
462,"0hard/1327soft"
500,"0hard/1335soft"
1245,"0hard/1445soft"
1327,"0hard/1823soft"
