"timeMillisSpent","score"
1,"0hard/-1880soft"
1,"0hard/-1186soft"
1,"0hard/-1135soft"
2,"0hard/-815soft"
2,"0hard/-650soft"
11,"0hard/-648soft"
12,"0hard/355soft"
19,"0hard/401soft"
43,"0hard/439soft"
46,"0hard/445soft"
86,"0hard/446soft"
97,"0hard/534soft"
99,"0hard/597soft"
101,"0hard/957soft"
127,"0hard/962soft"
259,"0hard/993soft"
262,"0hard/1099soft"
263,"0hard/1127soft"
396,"0hard/1173soft"
403,"0hard/1202soft"
408,"0hard/1327soft"
446,"0hard/1335soft"
1220,"0hard/1445soft"
1302,"0hard/1823soft"
6289,"0hard/1863soft"
19582,"0hard/1890soft"
