"timeMillisSpent","score"
1,"0hard/737soft"
1,"0hard/1119soft"
1,"0hard/1534soft"
1,"0hard/1551soft"
2,"0hard/1554soft"
2,"0hard/1607soft"
2,"0hard/1624soft"
7,"0hard/1735soft"
8,"0hard/1863soft"
11,"0hard/2104soft"
23,"0hard/2132soft"
26,"0hard/2177soft"
38,"0hard/2265soft"
46,"0hard/2267soft"
63,"0hard/2273soft"
68,"0hard/2327soft"
86,"0hard/2433soft"
99,"0hard/2442soft"
150,"0hard/2573soft"
667,"0hard/2581soft"
1271,"0hard/2586soft"
2392,"0hard/2609soft"
2402,"0hard/2690soft"
25098,"0hard/2693soft"
25344,"0hard/2705soft"
29595,"0hard/2730soft"
