"timeMillisSpent","score"
0,"0hard/-2077soft"
0,"0hard/-1295soft"
0,"0hard/-1004soft"
0,"0hard/-801soft"
0,"0hard/-594soft"
1,"0hard/-403soft"
1,"0hard/4soft"
1,"0hard/201soft"
7,"0hard/214soft"
21,"0hard/437soft"
31,"0hard/543soft"
32,"0hard/974soft"
137,"0hard/1051soft"
467,"0hard/1209soft"
837,"0hard/1252soft"
880,"0hard/1314soft"
907,"0hard/1511soft"
1107,"0hard/1685soft"
2458,"0hard/1687soft"
9634,"0hard/1783soft"
14516,"0hard/1812soft"
19586,"0hard/1912soft"
24141,"0hard/1959soft"
28905,"0hard/2046soft"
