"timeMillisSpent","score"
2,"0hard/-2258soft"
2,"0hard/-2252soft"
3,"0hard/-2077soft"
3,"0hard/-1743soft"
3,"0hard/-1369soft"
3,"0hard/-1320soft"
3,"0hard/-1233soft"
7,"0hard/-1128soft"
8,"0hard/-1036soft"
11,"0hard/-845soft"
13,"0hard/-702soft"
14,"0hard/-606soft"
18,"0hard/-530soft"
19,"0hard/-381soft"
28,"0hard/-234soft"
28,"0hard/-167soft"
38,"0hard/-165soft"
39,"0hard/-57soft"
40,"0hard/127soft"
44,"0hard/166soft"
47,"0hard/472soft"
59,"0hard/700soft"
300,"0hard/743soft"
308,"0hard/855soft"
348,"0hard/872soft"
374,"0hard/1052soft"
524,"0hard/1187soft"
553,"0hard/1446soft"
2466,"0hard/1479soft"
2575,"0hard/1626soft"
5025,"0hard/1681soft"
5055,"0hard/1748soft"
5649,"0hard/1816soft"
11453,"0hard/1901soft"
18436,"0hard/1945soft"
25412,"0hard/2000soft"
