"timeMillisSpent","score"
1,"-25hard/2198soft"
1,"-15hard/1749soft"
1,"-15hard/1926soft"
1,"-10hard/1445soft"
3,"-10hard/2024soft"
4,"-5hard/1764soft"
7,"-5hard/1788soft"
7,"-5hard/1858soft"
8,"0hard/1287soft"
22,"0hard/1641soft"
23,"0hard/1776soft"
31,"0hard/1876soft"
40,"0hard/1886soft"
50,"0hard/1910soft"
76,"0hard/1960soft"
163,"0hard/1977soft"
169,"0hard/2004soft"
191,"0hard/2079soft"
212,"0hard/2142soft"
242,"0hard/2158soft"
296,"0hard/2172soft"
606,"0hard/2244soft"
894,"0hard/2249soft"
894,"0hard/2265soft"
1243,"0hard/2287soft"
1888,"0hard/2307soft"
1993,"0hard/2320soft"
2596,"0hard/2345soft"
2684,"0hard/2346soft"
2690,"0hard/2364soft"
3513,"0hard/2423soft"
9769,"0hard/2431soft"
11087,"0hard/2463soft"
13609,"0hard/2501soft"
14245,"0hard/2510soft"
14429,"0hard/2513soft"
15753,"0hard/2517soft"
