"timeMillisSpent","score"
17,"0hard/-6661soft"
30,"0hard/-5921soft"
43,"0hard/-5545soft"
54,"0hard/-5116soft"
64,"0hard/-4325soft"
85,"0hard/-4074soft"
110,"0hard/-3906soft"
125,"0hard/-3773soft"
136,"0hard/-3712soft"
232,"0hard/-3583soft"
244,"0hard/-3377soft"
725,"0hard/-3137soft"
1257,"0hard/-2940soft"
1824,"0hard/-2877soft"
1835,"0hard/-2866soft"
1847,"0hard/-2396soft"
