"timeMillisSpent","score"
4,"0hard/-1242soft"
6,"0hard/-611soft"
8,"0hard/-112soft"
10,"0hard/118soft"
13,"0hard/176soft"
17,"0hard/362soft"
19,"0hard/662soft"
20,"0hard/666soft"
23,"0hard/834soft"
30,"0hard/950soft"
93,"0hard/980soft"
147,"0hard/1126soft"
246,"0hard/1145soft"
343,"0hard/1251soft"
346,"0hard/1285soft"
348,"0hard/1410soft"
1396,"0hard/1620soft"
1458,"0hard/1691soft"
