"timeMillisSpent","score"
1,"0hard/737soft"
1,"0hard/811soft"
1,"0hard/1089soft"
1,"0hard/1432soft"
2,"0hard/1458soft"
2,"0hard/1477soft"
2,"0hard/1718soft"
2,"0hard/1871soft"
2,"0hard/1879soft"
2,"0hard/1890soft"
2,"0hard/1941soft"
4,"0hard/2036soft"
5,"0hard/2169soft"
21,"0hard/2198soft"
21,"0hard/2216soft"
24,"0hard/2222soft"
26,"0hard/2287soft"
26,"0hard/2411soft"
75,"0hard/2444soft"
158,"0hard/2527soft"
465,"0hard/2613soft"
1821,"0hard/2618soft"
4057,"0hard/2627soft"
4069,"0hard/2654soft"
30000,"0hard/2658soft"
