"timeMillisSpent","score"
1,"0hard/-518soft"
2,"0hard/-357soft"
2,"0hard/-285soft"
2,"0hard/-275soft"
2,"0hard/-225soft"
2,"0hard/-147soft"
3,"0hard/-145soft"
3,"0hard/-66soft"
3,"0hard/96soft"
3,"0hard/230soft"
4,"0hard/417soft"
5,"0hard/991soft"
8,"0hard/1043soft"
9,"0hard/1110soft"
9,"0hard/1136soft"
11,"0hard/1205soft"
13,"0hard/1234soft"
14,"0hard/1283soft"
14,"0hard/1357soft"
14,"0hard/1616soft"
20,"0hard/1678soft"
20,"0hard/1772soft"
31,"0hard/1934soft"
31,"0hard/1935soft"
39,"0hard/1955soft"
39,"0hard/1975soft"
39,"0hard/2008soft"
45,"0hard/2101soft"
48,"0hard/2148soft"
51,"0hard/2169soft"
52,"0hard/2272soft"
101,"0hard/2369soft"
151,"0hard/2406soft"
201,"0hard/2416soft"
235,"0hard/2456soft"
277,"0hard/2470soft"
356,"0hard/2504soft"
399,"0hard/2572soft"
948,"0hard/2709soft"
23407,"0hard/2761soft"
