"timeMillisSpent","score"
7,"0hard/2249soft"
12,"0hard/2435soft"
50,"0hard/2482soft"
57,"0hard/2488soft"
79,"0hard/2497soft"
94,"0hard/2525soft"
140,"0hard/2538soft"
152,"0hard/2546soft"
8345,"0hard/2554soft"
14404,"0hard/2563soft"
22865,"0hard/2564soft"
29334,"0hard/2568soft"
29371,"0hard/2591soft"
