"timeMillisSpent","score"
2,"0hard/-518soft"
2,"0hard/-357soft"
2,"0hard/-285soft"
2,"0hard/-275soft"
2,"0hard/-225soft"
2,"0hard/-147soft"
2,"0hard/-145soft"
2,"0hard/-66soft"
3,"0hard/96soft"
3,"0hard/230soft"
4,"0hard/292soft"
4,"0hard/572soft"
4,"0hard/674soft"
4,"0hard/719soft"
6,"0hard/774soft"
6,"0hard/838soft"
9,"0hard/1106soft"
14,"0hard/1717soft"
30,"0hard/1984soft"
41,"0hard/2005soft"
41,"0hard/2086soft"
74,"0hard/2109soft"
85,"0hard/2120soft"
96,"0hard/2153soft"
125,"0hard/2177soft"
158,"0hard/2198soft"
164,"0hard/2210soft"
183,"0hard/2228soft"
184,"0hard/2356soft"
319,"0hard/2403soft"
330,"0hard/2428soft"
502,"0hard/2432soft"
699,"0hard/2472soft"
749,"0hard/2511soft"
1020,"0hard/2532soft"
1849,"0hard/2551soft"
2384,"0hard/2554soft"
4097,"0hard/2566soft"
6671,"0hard/2609soft"
6865,"0hard/2625soft"
6868,"0hard/2627soft"
7389,"0hard/2628soft"
7595,"0hard/2664soft"
