"timeMillisSpent","score"
1,"0hard/-518soft"
2,"0hard/-357soft"
2,"0hard/-285soft"
3,"0hard/-275soft"
3,"0hard/-225soft"
3,"0hard/-147soft"
3,"0hard/-145soft"
3,"0hard/-66soft"
3,"0hard/96soft"
4,"0hard/230soft"
5,"0hard/417soft"
5,"0hard/991soft"
8,"0hard/1043soft"
8,"0hard/1110soft"
8,"0hard/1136soft"
10,"0hard/1205soft"
12,"0hard/1234soft"
15,"0hard/1283soft"
15,"0hard/1357soft"
15,"0hard/1616soft"
21,"0hard/1678soft"
21,"0hard/1772soft"
33,"0hard/1934soft"
33,"0hard/1935soft"
41,"0hard/1955soft"
41,"0hard/1975soft"
41,"0hard/2008soft"
48,"0hard/2101soft"
51,"0hard/2148soft"
54,"0hard/2169soft"
55,"0hard/2272soft"
104,"0hard/2369soft"
152,"0hard/2406soft"
200,"0hard/2416soft"
235,"0hard/2456soft"
275,"0hard/2470soft"
360,"0hard/2504soft"
417,"0hard/2572soft"
988,"0hard/2709soft"
