"timeMillisSpent","score"
2,"-5hard/-8503soft"
2,"-1hard/-8112soft"
2,"-1hard/-8046soft"
14,"-1hard/-7870soft"
29,"0hard/-10492soft"
37,"0hard/-7464soft"
56,"0hard/-5552soft"
248,"0hard/-5095soft"
445,"0hard/-4747soft"
451,"0hard/-4695soft"
862,"0hard/-4383soft"
871,"0hard/-4218soft"
871,"0hard/-3588soft"
6381,"0hard/-3325soft"
